Designator,Mid X,Mid Y,Layer,Rotation
C1,73.0465,-72.134,top,0
C2,68.074,-38.1215,top,-90
C3,61.214,-102.362,top,-105
C4,115.844,-78.385273,top,-60
C5,115.844,-95.751642,top,-60
C6,51.437,-97.8115,top,-90
C10,83.2905,-84.328,top,180
C11,70.7175,-83.312,top,180
C12,51.943,-94.107,top,-90
C13,86.995,-99.06,top,90
C14,41.783,-100.340349,top,-90
C20,95.8635,-84.201,top,180
C22,55.626,-73.83025,top,180
C23,42.54175,-78.62425,top,90
C26,102.87,-98.8275,top,90
C28,109.728,-58.282651,top,90
C29,48.26,-73.70325,top,0
C31,52.95575,-70.78225,top,90
C32,108.4365,-83.82,top,180
C33,102.87,-54.61,top,0
C34,97.79,-44.45,top,0
C35,62.23,-84.455,top,90
C38,102.87,-44.45,top,0
C39,97.79,-54.61,top,0
C40,69.596,-86.36,top,-90
C41,97.2,-41.148,top,0
C42,62.23,-36.449,top,0
C43,115.844,-87.115642,top,-60
D1,86.36,-84.836,top,90
D2,99.06,-84.836,top,90
D3,112.268,-75.438,top,90
D4,73.406,-79.375,top,90
D5,56.388,-78.65625,top,-90
D6,59.944,-78.65625,top,-90
D7,45.33575,-78.232,top,90
D8,44.57375,-72.52825,top,-90
D9,59.69,-71.51225,top,-90
D10,94.615,-49.53,top,-90
D11,94.615,-59.69,top,-90
J7,109.22,-48.26,top,90
J9,49.068,-38.1,top,-90
J10,59.773,-46.99,top,-90
J11,48.943,-47.07,top,-90
J12,116.54,-54.356,top,90
J13,54.358,-47.07,top,-90
J14,65.488,-46.99,top,-90
J15,43.18,-42.752,top,-90
J16,43.18,-59.19,top,-90
J17,98.806,-38.1,top,-90
Q7,49.65375,-70.66375,top,180
Q10,104.20275,-67.901,top,-90
Q11,94.8,-67.901,top,-90
Q12,107.85975,-67.901,top,-90
Q13,79.433,-67.901,top,-90
Q14,83.132,-67.893,top,-90
Q15,91.155,-67.901,top,-90
Q16,64.75825,-57.61925,top,180
Q17,64.77,-61.494,top,180
Q18,64.77,-65.415,top,180
Q19,75.626,-64.1835,top,-90
Q20,71.562,-64.1835,top,-90
R1,116.078,-74.422,top,90
R6,73.406,-74.93,top,90
R7,75.657,-61.3065,top,180
R8,83.4155,-86.36,top,180
R10,76.2,-84.074,top,-90
R14,96.012,-86.36,top,180
R19,88.9,-84.0975,top,-90
R22,52.00475,-73.70325,top,180
R23,46.60575,-70.66375,top,-90
R24,57.01975,-70.78225,top,-90
R25,54.98775,-70.78225,top,-90
R26,108.204,-85.852,top,180
R28,94.742,-45.72,top,-90
R29,101.6,-84.0975,top,-90
R30,42.418,-69.596,top,90
R31,66.675,-92.329,top,0
R32,66.675,-96.139,top,0
R33,66.675,-99.949,top,0
R34,94.615,-56.515,top,-90
R35,111.252,-37.1875,top,90
R36,61.89,-41.18,top,0
R37,110.998,-40.72,top,90
R38,61.89,-38.64,top,180
R40,104.30375,-64.77,top,180
R41,104.28775,-70.866,top,180
R42,94.996,-65.024,top,180
R43,95.012,-71.12,top,180
R44,108.204,-64.77,top,180
R45,108.204,-70.866,top,180
R46,79.518,-64.786,top,180
R47,79.518,-70.866,top,180
R48,83.328,-64.778,top,180
R49,83.328,-70.858,top,180
R50,91.186,-65.024,top,180
R51,91.202,-71.12,top,180
R52,67.63525,-57.72025,top,90
R53,61.79325,-57.70425,top,90
R54,67.647,-61.595,top,90
R55,61.805,-61.579,top,90
R56,67.647,-65.516,top,90
R57,61.805,-65.5,top,90
R58,75.673,-67.4025,top,180
R59,71.593,-61.3065,top,180
R60,71.609,-67.4025,top,180
SW1,105.41,-38.635,top,180
SW2,55.7,-38.65,top,180
TH1,42.418,-74.406,top,90
U1,80.01,-77.47,top,-90
U2,81.28,-45.72,top,0
U3,66.802,-77.4975,top,-90
U4,57.15,-97.79,top,90
U5,83.185,-98.425,top,90
U6,52.07,-62.23,top,0
U7,92.75,-77.4975,top,-90
U8,98.933,-98.425,top,90
U9,50.8,-78.91025,top,0
U10,100.33,-49.53,top,180
U11,105.664,-77.47,top,-90
U12,100.33,-59.69,top,180
U13,65.405,-86.614,top,90
